Image Number,Citaton,Common Name,Scientific Name, Host Common Name, Host Scientific Name, Descriptor
5443323,"Rob Routledge, Sault College, Bugwood.org",American elm,Ulmus americana,,,Fruit(s)
5443332,"Rob Routledge, Sault College, Bugwood.org",eastern white pine,Pinus strobus,,,Cones
5443744,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",butternut,Juglans cinerea,,,Fruit(s)
5443937,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",overcup oak,Quercus lyrata,,,Fruit(s)
5444035,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",sugarberry,Celtis laevigata,,,Bark
5444596,"David Stephens, Bugwood.org",eastern hemlock,Tsuga canadensis,,,Tree(s)
5444599,"David Stephens, Bugwood.org",eastern hemlock,Tsuga canadensis,,,Bark
5444923,"Rob Routledge, Sault College, Bugwood.org",eastern hemlock,Tsuga canadensis,,,Foliage
5444941,"Rob Routledge, Sault College, Bugwood.org",cherry birch,Betula lenta,,,Foliage
5445409,"David Stephens, Bugwood.org",scarlet oak,Quercus coccinea,,,Foliage
5445415,"David Stephens, Bugwood.org",scarlet oak,Quercus coccinea,,,Foliage
5445418,"David Stephens, Bugwood.org",scarlet oak,Quercus coccinea,,,Fruit(s)
5445640,"Rob Routledge, Sault College, Bugwood.org",blackgum,Nyssa sylvatica,,,Foliage
5445656,"David Stephens, Bugwood.org",southern red oak,Quercus falcata,,,Tree(s)
5445789,"Rob Routledge, Sault College, Bugwood.org",American sycamore,Platanus occidentalis,,,Foliage
5445792,"Rob Routledge, Sault College, Bugwood.org",American sycamore,Platanus occidentalis,,,Bark
5445845,"Rob Routledge, Sault College, Bugwood.org",American beech,Fagus grandifolia,,,Fruit(s)
5445846,"Rob Routledge, Sault College, Bugwood.org",American beech,Fagus grandifolia,,,Foliage
5445892,"David Stephens, Bugwood.org",eastern white pine,Pinus strobus,,,Tree(s)
5445900,"David Stephens, Bugwood.org",willow oak,Quercus phellos,,,Tree(s)
5445902,"David Stephens, Bugwood.org",willow oak,Quercus phellos,,,Foliage
5445914,"David Stephens, Bugwood.org",scarlet oak,Quercus coccinea,,,Tree(s)
5446755,"Vern Wilkins, Indiana University, Bugwood.org",shortleaf pine,Pinus echinata,,,Bark
5446760,"Vern Wilkins, Indiana University, Bugwood.org",Virginia pine,Pinus virginiana,,,Cones
5446762,"Vern Wilkins, Indiana University, Bugwood.org",Virginia pine,Pinus virginiana,,,Bark
5446765,"Vern Wilkins, Indiana University, Bugwood.org",willow oak,Quercus phellos,,,Tree(s)
5446766,"Vern Wilkins, Indiana University, Bugwood.org",willow oak,Quercus phellos,,,Foliage
5446911,"Vern Wilkins, Indiana University, Bugwood.org",American holly,Ilex opaca,,,Tree(s)
5447069,"Rob Routledge, Sault College, Bugwood.org",boxelder,Acer negundo,,,Twig(s)/Shoot(s)
5447083,"Vern Wilkins, Indiana University, Bugwood.org",black cherry,Prunus serotina,,,Flower(s)
5449612,"Vern Wilkins, Indiana University, Bugwood.org",pignut hickory,Carya glabra,,,Bark
5453763,"Leslie J. Mehrhoff, University of Connecticut, Bugwood.org",black locust,Robinia pseudoacacia,,,Feature(s)
5453811,"Leslie J. Mehrhoff, University of Connecticut, Bugwood.org",black locust,Robinia pseudoacacia,,,Bark
5453817,"Leslie J. Mehrhoff, University of Connecticut, Bugwood.org",black locust,Robinia pseudoacacia,,,Fruit(s)
5454053,"Vern Wilkins, Indiana University, Bugwood.org",black oak,Quercus velutina,,,Fruit(s)
5454054,"Vern Wilkins, Indiana University, Bugwood.org",black oak,Quercus velutina,,,Foliage
5454061,"Vern Wilkins, Indiana University, Bugwood.org",swamp chestnut oak,Quercus michauxii,,,Tree(s)
5454086,"Vern Wilkins, Indiana University, Bugwood.org",blackgum,Nyssa sylvatica,,,Tree(s)
5454098,"David Stephens, Bugwood.org",white oak,Quercus alba,,,Tree(s)
5454117,"Rob Routledge, Sault College, Bugwood.org",hophornbeam,Ostrya virginiana,,,Bark
5454214,"Vern Wilkins, Indiana University, Bugwood.org",chestnut oak,Quercus prinus,,,Foliage
5454215,"Vern Wilkins, Indiana University, Bugwood.org",eastern cottonwood,Populus deltoides,,,Foliage
5454217,"Vern Wilkins, Indiana University, Bugwood.org",scarlet oak,Quercus coccinea,,,Bark
5454533,"Jason Sharman, Vitalitree, Bugwood.org",eastern redcedar,Juniperus virginiana,eastern redcedar,Juniperus virginiana,Tree(s)
5454701,"Jason Sharman, Vitalitree, Bugwood.org",black walnut,Juglans nigra,black walnut,Juglans nigra,Bark
5455047,"Vern Wilkins, Indiana University, Bugwood.org",shortleaf pine,Pinus echinata,,,Tree(s)
5455669,"Vern Wilkins, Indiana University, Bugwood.org",overcup oak,Quercus lyrata,,,Tree(s)
5458008,"David Stephens, Bugwood.org",American holly,Ilex opaca,,,Fruit(s)
5458012,"David Stephens, Bugwood.org",American holly,Ilex opaca,,,Foliage
5466717,"William M. Ciesla, Forest Health Management International, Bugwood.org",mountain magnolia,Magnolia fraseri,,,Flower(s)
5466718,"William M. Ciesla, Forest Health Management International, Bugwood.org",mountain magnolia,Magnolia fraseri,,,Flower(s)
5467324,"David Stephens, Bugwood.org",Virginia pine,Pinus virginiana,,,Tree(s)
5467337,"David Stephens, Bugwood.org",red maple,Acer rubrum,,,Fruit(s)
5467378,"David Stephens, Bugwood.org",eastern redbud,Cercis canadensis,,,Flower(s)
5467986,"Deena Chadi, University of New Haven, Bugwood.org",sweetgum,Liquidambar styraciflua,,,Seed(s)
5468088,"Brett Marshall, Sault College, Bugwood.org",red maple,Acer rubrum,,,Bark
5468124,"Brett Marshall, Sault College, Bugwood.org",green ash,Fraxinus pennsylvanica,,,Bark
5468258,"Steven Katovich, USDA Forest Service, Bugwood.org",black willow,Salix nigra,,,Tree(s)
5468515,"Becca MacDonald, Sault College, Bugwood.org",honeylocust,Gleditsia triacanthos,,,Feature(s)
5468642,"David Stephens, Bugwood.org",slash pine,Pinus elliottii,,,Tree(s)
5469691,"David Stephens, Bugwood.org",red mulberry,Morus rubra,,,Fruit(s)
5469694,"David Stephens, Bugwood.org",red mulberry,Morus rubra,,,Foliage
5469820,"Karan A. Rawlins, University of Georgia, Bugwood.org",southern catalpa,Catalpa bignonioides,,,Bark
5469821,"Karan A. Rawlins, University of Georgia, Bugwood.org",southern catalpa,Catalpa bignonioides,,,Tree(s)
5469822,"Karan A. Rawlins, University of Georgia, Bugwood.org",southern catalpa,Catalpa bignonioides,,,Tree(s)
5470001,"Vern Wilkins, Indiana University, Bugwood.org",black oak,Quercus velutina,,,Tree(s)
5470062,"David Stephens, Bugwood.org",umbrella magnolia,Magnolia tripetala,,,Sapling(s)
5470321,"Karan A. Rawlins, University of Georgia, Bugwood.org",umbrella magnolia,Magnolia tripetala,,,Bark
5470596,"Rebekah D. Wallace, University of Georgia, Bugwood.org",common persimmon,Diospyros virginiana,,,Foliage
5470597,"Rebekah D. Wallace, University of Georgia, Bugwood.org",common persimmon,Diospyros virginiana,,,Foliage
5470598,"Rebekah D. Wallace, University of Georgia, Bugwood.org",common persimmon,Diospyros virginiana,,,Fruit(s)
5470914,"Lyndon Photography, Bugwood.org",black walnut,Juglans nigra,,,Fruit(s)
5471202,"Brett Marshall, Sault College, Bugwood.org",bitternut hickory,Carya cordiformis,,,Bark
5471203,"Brett Marshall, Sault College, Bugwood.org",bitternut hickory,Carya cordiformis,,,Twig(s)/Shoot(s)
5471241,"Brett Marshall, Sault College, Bugwood.org",eastern hemlock,Tsuga canadensis,,,Cones
5471416,"Karan A. Rawlins, University of Georgia, Bugwood.org",American elm,Ulmus americana,,,Tree(s)
5471457,"Karan A. Rawlins, University of Georgia, Bugwood.org",umbrella magnolia,Magnolia tripetala,,,Tree(s)
5471469,"Karan A. Rawlins, University of Georgia, Bugwood.org",umbrella magnolia,Magnolia tripetala,,,Flower(s)
5471481,"Karan A. Rawlins, University of Georgia, Bugwood.org",yellow-poplar,Liriodendron tulipifera,,,Tree(s)
5471591,"David Stephens, Bugwood.org",swamp chestnut oak,Quercus michauxii,,,Tree(s)
5472061,"Rob Routledge, Sault College, Bugwood.org",dwarf hackberry,Celtis tenuifolia,,,Seedling(s)
5472484,"David Stephens, Bugwood.org",black willow,Salix nigra,,,Tree(s)
5472490,"David Stephens, Bugwood.org",black willow,Salix nigra,,,Foliage
5472682,"Karan A. Rawlins, University of Georgia, Bugwood.org",Atlantic white cedar,Chamaecyparis thyoides,,,Foliage
5472687,"Karan A. Rawlins, University of Georgia, Bugwood.org",Atlantic white cedar,Chamaecyparis thyoides,,,Bark
5472692,"Karan A. Rawlins, University of Georgia, Bugwood.org",Atlantic white cedar,Chamaecyparis thyoides,,,Sapling(s)
5472926,"Vern Wilkins, Indiana University, Bugwood.org",swamp cottonwood,Populus heterophylla,,,Tree(s)
5472928,"Vern Wilkins, Indiana University, Bugwood.org",swamp cottonwood,Populus heterophylla,,,Foliage
5472937,"Vern Wilkins, Indiana University, Bugwood.org",post oak,Quercus stellata,,,Tree(s)
5472969,"Vern Wilkins, Indiana University, Bugwood.org",shellbark hickory,Carya laciniosa,,,Tree(s)
5472977,"Vern Wilkins, Indiana University, Bugwood.org",shellbark hickory,Carya laciniosa,,,Foliage
5472992,"Vern Wilkins, Indiana University, Bugwood.org",slippery elm,Ulmus rubra,,,Bark
5473613,"Rob Routledge, Sault College, Bugwood.org",yellow-poplar,Liriodendron tulipifera,,,Flower(s)
5473625,"Rob Routledge, Sault College, Bugwood.org",slippery elm,Ulmus rubra,,,Foliage
5473626,"Rob Routledge, Sault College, Bugwood.org",slippery elm,Ulmus rubra,,,Bark
5473633,"Rob Routledge, Sault College, Bugwood.org",American hornbeam,Carpinus caroliniana,,,Foliage
5473971,"Rob Routledge, Sault College, Bugwood.org",sassafras,Sassafras albidum,,,Seedling(s)
5474215,"David Stephens, Bugwood.org",slash pine,Pinus elliottii,,,Stand
5474407,"Rob Routledge, Sault College, Bugwood.org",black walnut,Juglans nigra,,,Fruit(s)
5474588,"Vern Wilkins, Indiana University, Bugwood.org",swamp cottonwood,Populus heterophylla,,,Foliage
5474622,"Vern Wilkins, Indiana University, Bugwood.org",overcup oak,Quercus lyrata,,,Foliage
5474671,"Vern Wilkins, Indiana University, Bugwood.org",swamp chestnut oak,Quercus michauxii,,,Foliage
5474675,"Vern Wilkins, Indiana University, Bugwood.org",boxelder,Acer negundo,,,Foliage
5474828,"Karan A. Rawlins, University of Georgia, Bugwood.org",longleaf pine,Pinus palustris,,,Sapling(s)
5474914,"Rob Routledge, Sault College, Bugwood.org",red maple,Acer rubrum,,,Foliage
5476865,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",blackjack oak,Quercus marilandica,,,Fruit(s)
5476867,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",blackjack oak,Quercus marilandica,,,Tree(s)
5478692,"David Stephens, Bugwood.org",longleaf pine,Pinus palustris,,,Tree(s)
5481007,"Vern Wilkins, Indiana University, Bugwood.org",mockernut hickory,Carya tomentosa,,,Twig(s)/Shoot(s)
5481017,"Vern Wilkins, Indiana University, Bugwood.org",sassafras,Sassafras albidum,,,Fruit(s)
5484044,"USDA Forest Service Southern Research Station Archive, USDA Forest Service, SRS, Bugwood.org",American chestnut,Castanea dentata,,,Tree(s)
5484480,"USDA Forest Service Southern Research Station Archive, USDA Forest Service, SRS, Bugwood.org",American chestnut,Castanea dentata,,,Tree(s)
5484571,"Michasia Harris, University of Georgia, Bugwood.org",river birch,Betula nigra,,,Tree(s)
5484595,"Michasia Harris, University of Georgia, Bugwood.org",yaupon,Ilex vomitoria,,,Cultivar
5484597,"Michasia Harris, University of Georgia, Bugwood.org",yaupon,Ilex vomitoria,,,Cultivar
5484598,"Michasia Harris, University of Georgia, Bugwood.org",eastern redcedar,Juniperus virginiana,,,Tree(s)
5484599,"Michasia Harris, University of Georgia, Bugwood.org",eastern redcedar,Juniperus virginiana,,,Bark
5484607,"Michasia Harris, University of Georgia, Bugwood.org",sweetgum,Liquidambar styraciflua,,,Fruit(s)
5484609,"Michasia Harris, University of Georgia, Bugwood.org",yellow-poplar,Liriodendron tulipifera,,,Tree(s)
5484610,"Michasia Harris, University of Georgia, Bugwood.org",yellow-poplar,Liriodendron tulipifera,,,Foliage
5484624,"Michasia Harris, University of Georgia, Bugwood.org",American sycamore,Platanus occidentalis,,,Tree(s)
5484632,"Michasia Harris, University of Georgia, Bugwood.org",live oak,Quercus virginiana,,,Foliage
5484633,"Michasia Harris, University of Georgia, Bugwood.org",live oak,Quercus virginiana,,,Tree(s)
5485004,"Karan A. Rawlins, University of Georgia, Bugwood.org",American chestnut,Castanea dentata,,,Foliage
5493263,"William M. Ciesla, Forest Health Management International, Bugwood.org",flowering dogwood,Cornus florida,,,Flower(s)
5493300,"William M. Ciesla, Forest Health Management International, Bugwood.org",black locust,Robinia pseudoacacia,,,Flower(s)
5493959,"William M. Ciesla, Forest Health Management International, Bugwood.org",American chestnut,Castanea dentata,,,Fruit(s)
5493973,"William M. Ciesla, Forest Health Management International, Bugwood.org",sourwood,Oxydendrum arboreum,,,Flower(s)
5495448,"T. Davis Sydnor, The Ohio State University, Bugwood.org",serviceberry,Amelanchier arborea,,,Foliage
5496036,"Rob Routledge, Sault College, Bugwood.org",red maple,Acer rubrum,,,Fruit(s)
5497122,"Vern Wilkins, Indiana University, Bugwood.org",American beech,Fagus grandifolia,,,Flower(s)
5497129,"Vern Wilkins, Indiana University, Bugwood.org",hophornbeam,Ostrya virginiana,,,Flower(s)
5497132,"Vern Wilkins, Indiana University, Bugwood.org",red mulberry,Morus rubra,,,Fruit(s)
5497552,"T. Davis Sydnor, The Ohio State University, Bugwood.org",shellbark hickory,Carya laciniosa,,,Foliage
5497556,"T. Davis Sydnor, The Ohio State University, Bugwood.org",shellbark hickory,Carya laciniosa,,,Fruit(s)
5497558,"T. Davis Sydnor, The Ohio State University, Bugwood.org",shellbark hickory,Carya laciniosa,,,Twig(s)/Shoot(s)
5497564,"T. Davis Sydnor, The Ohio State University, Bugwood.org",shagbark hickory,Carya ovata,,,Foliage
5497570,"T. Davis Sydnor, The Ohio State University, Bugwood.org",mockernut hickory,Carya tomentosa,,,Foliage
5497625,"T. Davis Sydnor, The Ohio State University, Bugwood.org",cherry birch,Betula lenta,,,Foliage
5497643,"T. Davis Sydnor, The Ohio State University, Bugwood.org",river birch,Betula nigra,,,Flower(s)
5497647,"T. Davis Sydnor, The Ohio State University, Bugwood.org",river birch,Betula nigra,,,Tree(s)
5497704,"T. Davis Sydnor, The Ohio State University, Bugwood.org",bitternut hickory,Carya cordiformis,,,Tree(s)
5497705,"T. Davis Sydnor, The Ohio State University, Bugwood.org",pignut hickory,Carya glabra,,,Flower(s)
5497706,"T. Davis Sydnor, The Ohio State University, Bugwood.org",pignut hickory,Carya glabra,,,Tree(s)
5497708,"T. Davis Sydnor, The Ohio State University, Bugwood.org",pignut hickory,Carya glabra,,,Tree(s)
5497805,"T. Davis Sydnor, The Ohio State University, Bugwood.org",sugarberry,Celtis laevigata,,,Tree(s)
5497848,"T. Davis Sydnor, The Ohio State University, Bugwood.org",eastern redbud,Cercis canadensis,,,Flower(s)
5498539,"Rob Routledge, Sault College, Bugwood.org",hophornbeam,Ostrya virginiana,,,Fruit(s)
5499584,"David Stephens, Bugwood.org",baldcypress,Taxodium distichum,,,Tree(s)
5499593,"David Stephens, Bugwood.org",northern red oak,Quercus rubra,,,Tree(s)
5500070,"T. Davis Sydnor, The Ohio State University, Bugwood.org",flowering dogwood,Cornus florida,,,Foliage
5500152,"T. Davis Sydnor, The Ohio State University, Bugwood.org",glossy hawthorn,Crataegus nitida,,,Twig(s)/Shoot(s)
5500167,"T. Davis Sydnor, The Ohio State University, Bugwood.org",Washington hawthorn,Crataegus phaenopyrum,,,Fruit(s)
5500173,"T. Davis Sydnor, The Ohio State University, Bugwood.org",dotted hawthorn,Crataegus punctata,,,Flower(s)
5500185,"T. Davis Sydnor, The Ohio State University, Bugwood.org",green hawthorn,Crataegus viridis,,,Tree(s)
5500198,"T. Davis Sydnor, The Ohio State University, Bugwood.org",hawthorn,Crataegus x lavallei,,,Tree(s)
5500208,"T. Davis Sydnor, The Ohio State University, Bugwood.org",common persimmon,Diospyros virginiana,,,Tree(s)
5500212,"T. Davis Sydnor, The Ohio State University, Bugwood.org",common persimmon,Diospyros virginiana,,,Tree(s)
5500213,"T. Davis Sydnor, The Ohio State University, Bugwood.org",common persimmon,Diospyros virginiana,,,Fruit(s)
5500269,"T. Davis Sydnor, The Ohio State University, Bugwood.org",American beech,Fagus grandifolia,,,Tree(s)
5500310,"T. Davis Sydnor, The Ohio State University, Bugwood.org",white ash,Fraxinus americana,,,Tree(s)
5500394,"T. Davis Sydnor, The Ohio State University, Bugwood.org",honeylocust,Gleditsia triacanthos,,,Tree(s)
5500426,"T. Davis Sydnor, The Ohio State University, Bugwood.org",Carolina silverbell,Halesia carolina,,,Tree(s)
5500427,"T. Davis Sydnor, The Ohio State University, Bugwood.org",Carolina silverbell,Halesia carolina,,,Flower(s)
5500428,"T. Davis Sydnor, The Ohio State University, Bugwood.org",Carolina silverbell,Halesia carolina,,,Fruit(s)
5500490,"T. Davis Sydnor, The Ohio State University, Bugwood.org",American holly,Ilex opaca,,,Tree(s)
5503997,"Vern Wilkins, Indiana University, Bugwood.org",post oak,Quercus stellata,,,Tree(s)
5503999,"Vern Wilkins, Indiana University, Bugwood.org",post oak,Quercus stellata,,,Foliage
5504003,"Vern Wilkins, Indiana University, Bugwood.org",winged elm,Ulmus alata,,,Foliage
5504010,"Vern Wilkins, Indiana University, Bugwood.org",post oak,Quercus stellata,,,Twig(s)/Shoot(s)
5505357,"Vern Wilkins, Indiana University, Bugwood.org",Shumard oak,Quercus shumardii,,,Tree(s)
5506995,"Elmer Verhasselt, Bugwood.org",shagbark hickory,Carya ovata,,,Fruit(s)

